=========================================
This for gpu 0
=========================================
937
step2111	all_loss10.091815	all_ccc=1919.000000	rate0.909048
step2175	all_loss10.414500	all_ccc=1977.000000	rate0.908966
step2239	all_loss10.885406	all_ccc=2033.000000	rate0.907995
step2303	all_loss11.238616	all_ccc=2092.000000	rate0.908380
step2367	all_loss11.441020	all_ccc=2154.000000	rate0.910013
step2431	all_loss11.803009	all_ccc=2210.000000	rate0.909091
step2495	all_loss11.964518	all_ccc=2272.000000	rate0.910621
step2559	all_loss12.190639	all_ccc=2330.000000	rate0.910512
step2623	all_loss12.638165	all_ccc=2383.000000	rate0.908502
step2687	all_loss12.915525	all_ccc=2441.000000	rate0.908448
step2751	all_loss13.094728	all_ccc=2502.000000	rate0.909487
step2815	all_loss13.304395	all_ccc=2560.000000	rate0.909414
step2879	all_loss13.468393	all_ccc=2620.000000	rate0.910038
step2943	all_loss13.769852	all_ccc=2678.000000	rate0.909956
step3007	all_loss14.037355	all_ccc=2737.000000	rate0.910210
step3071	all_loss14.184924	all_ccc=2799.000000	rate0.911430
step3135	all_loss14.588564	all_ccc=2857.000000	rate0.911324
step3199	all_loss14.838593	all_ccc=2914.000000	rate0.910910
step3263	all_loss15.078370	all_ccc=2975.000000	rate0.911738
step3327	all_loss15.247728	all_ccc=3037.000000	rate0.912834
step3391	all_loss15.498203	all_ccc=3095.000000	rate0.912710
step3455	all_loss15.677226	all_ccc=3155.000000	rate0.913169
step3519	all_loss15.895111	all_ccc=3217.000000	rate0.914180
step3583	all_loss16.320711	all_ccc=3274.000000	rate0.913759
step3647	all_loss16.589075	all_ccc=3333.000000	rate0.913902
step3711	all_loss16.802246	all_ccc=3391.000000	rate0.913770
step3775	all_loss17.220058	all_ccc=3448.000000	rate0.913377
step3839	all_loss17.731981	all_ccc=3500.000000	rate0.911696
step3903	all_loss18.201923	all_ccc=3555.000000	rate0.910838
step3967	all_loss18.608692	all_ccc=3613.000000	rate0.910764
step4031	all_loss18.880083	all_ccc=3670.000000	rate0.910444
step4095	all_loss19.214081	all_ccc=3729.000000	rate0.910623
step4159	all_loss19.434004	all_ccc=3789.000000	rate0.911036
step4223	all_loss19.830643	all_ccc=3847.000000	rate0.910964
step4287	all_loss20.128563	all_ccc=3904.000000	rate0.910660
step4351	all_loss20.486137	all_ccc=3960.000000	rate0.910136
step4415	all_loss20.692677	all_ccc=4019.000000	rate0.910306
step4479	all_loss20.983570	all_ccc=4076.000000	rate0.910025
step4543	all_loss21.334070	all_ccc=4135.000000	rate0.910192
step4607	all_loss21.602755	all_ccc=4193.000000	rate0.910137
step4671	all_loss21.823689	all_ccc=4254.000000	rate0.910726
step4735	all_loss22.013971	all_ccc=4314.000000	rate0.911088
step4799	all_loss22.236652	all_ccc=4375.000000	rate0.911648
step4863	all_loss22.586998	all_ccc=4434.000000	rate0.911783
step4927	all_loss22.951988	all_ccc=4488.000000	rate0.910899
step4991	all_loss23.277445	all_ccc=4546.000000	rate0.910840
step5055	all_loss23.441792	all_ccc=4605.000000	rate0.910979
step5119	all_loss23.651112	all_ccc=4664.000000	rate0.911115
step5183	all_loss23.792559	all_ccc=4725.000000	rate0.911634
step5247	all_loss23.933792	all_ccc=4786.000000	rate0.912140
step5311	all_loss23.995186	all_ccc=4850.000000	rate0.913199
step5375	all_loss24.115719	all_ccc=4913.000000	rate0.914047
step5439	all_loss24.155249	all_ccc=4977.000000	rate0.915058
step5503	all_loss24.228069	all_ccc=5039.000000	rate0.915682
step5567	all_loss24.275440	all_ccc=5103.000000	rate0.916652
